id,label,confidence
00396960ae.jpg,0,0.97537416
004773d4e8.jpg,0,0.9747242
009b266d98.jpg,0,0.9320954
009ed56c89.jpg,0,0.97742236
00a16cb3ae.jpg,0,0.6488657
00dfffbd41.jpg,1,0.9748468
00f5b22b0e.jpg,0,0.96543014
0128a1445b.jpg,0,0.9559433
017c62abe5.jpg,0,0.9837753
01884303fe.jpg,1,0.9781024
0191b19f44.jpg,0,0.80132484
01996dcce3.jpg,1,0.9543396
01d6a61ef4.jpg,0,0.9802414
01f60f0dd4.jpg,0,0.9739187
02164ebb34.jpg,1,0.97735643
0216a78271.jpg,1,0.9040478
02253429c1.jpg,1,0.8677413
0230107252.jpg,1,0.9819103
023ce8816d.jpg,0,0.97895324
026f145d07.jpg,0,0.98175365
02885090ec.jpg,0,0.8679999
02bb900252.jpg,1,0.9602172
02ce9d5dba.jpg,1,0.96471214
0350f05efb.jpg,1,0.701857
0363192ae1.jpg,0,0.97767556
03a5a6b5ba.jpg,0,0.84603524
03c01315f3.jpg,1,0.98203135
03e7219604.jpg,0,0.9733297
040c744779.jpg,0,0.5142557
0417426dce.jpg,0,0.9700797
0440f8d6cf.jpg,0,0.9326066
045b5209ea.jpg,0,0.98053384
04980fc906.jpg,0,0.9813654
04a668d7be.jpg,0,0.9775155
04c307864e.jpg,0,0.9673345
04f17ae096.jpg,0,0.6661132
05087537e5.jpg,1,0.95553344
05a0986da7.jpg,1,0.97654325
0661bd29ce.jpg,0,0.9690168
068a45c99f.jpg,0,0.97763616
06e460ae62.jpg,0,0.9834204
06f4ebbdae.jpg,0,0.9794159
06faa7565b.jpg,0,0.9847841
06fecd325f.jpg,1,0.94085914
070d8743d2.jpg,0,0.9768216
072915d6b2.jpg,0,0.98346853
0738f6bbad.jpg,0,0.98031974
074b9fde7e.jpg,0,0.9667995
0770466eb7.jpg,0,0.9815559
078f2b7777.jpg,0,0.9790911
079eb0d115.jpg,0,0.95808786
07b2974e83.jpg,0,0.9688777
07bc1f240e.jpg,0,0.8398855
07cba816bb.jpg,0,0.66475886
07cc85df16.jpg,0,0.9675214
07d1882d5c.jpg,1,0.81823003
07e6e94021.jpg,1,0.98102736
07f18f0c2f.jpg,0,0.967953
07fa16ee25.jpg,1,0.9832691
08309d7787.jpg,1,0.97658664
0833be035d.jpg,0,0.9797599
085e6e0ba0.jpg,0,0.9762412
08d0d85966.jpg,0,0.9792068
08f99d4d05.jpg,0,0.9662393
0900581479.jpg,1,0.95353717
09075e4eb4.jpg,0,0.97809887
0947e47409.jpg,1,0.9076705
0995f5723d.jpg,0,0.87313926
09a6caf0f8.jpg,0,0.97737485
09a90569f8.jpg,0,0.61831975
09bba403f1.jpg,0,0.61489534
09df0b0998.jpg,1,0.9774789
0a04bcf025.jpg,0,0.9436238
0a04f8e80e.jpg,0,0.9558265
0a17137b9e.jpg,1,0.6165605
0a2bc0e070.jpg,1,0.9458168
0a9796a6c2.jpg,0,0.9769034
0a995d672e.jpg,0,0.95947814
0a9e43869e.jpg,0,0.9728558
0a9f4a098a.jpg,1,0.97096956
0aaaa59109.jpg,1,0.960658
0ab569756e.jpg,0,0.9731591
0ab66fca59.jpg,0,0.9675418
0ad120a2b4.jpg,1,0.75574684
0af4231a6a.jpg,0,0.9332681
0af79aef5a.jpg,0,0.9661421
0b164ecd3b.jpg,1,0.95994776
0b16cc725a.jpg,0,0.78657484
0b3622c7d0.jpg,0,0.973397
0b3edfef76.jpg,1,0.8217492
