image_name,keypoint_1_x,keypoint_1_y,keypoint_2_x,keypoint_2_y,keypoint_3_x,keypoint_3_y,keypoint_4_x,keypoint_4_y,keypoint_5_x,keypoint_5_y,keypoint_6_x,keypoint_6_y,keypoint_7_x,keypoint_7_y,keypoint_8_x,keypoint_8_y,keypoint_9_x,keypoint_9_y,keypoint_10_x,keypoint_10_y,keypoint_11_x,keypoint_11_y,keypoint_12_x,keypoint_12_y,keypoint_13_x,keypoint_13_y,keypoint_14_x,keypoint_14_y,keypoint_15_x,keypoint_15_y,keypoint_16_x,keypoint_16_y,keypoint_17_x,keypoint_17_y
fall_1_backward_falls_frame001.jpg,681.091,182.16296,0.0,0.0,678.3846,172.62128,0.0,0.0,658.3794,174.19162,623.7822,219.62357,641.7146,228.98187,622.1151,305.9441,642.7771,315.8541,661.52234,382.0698,674.09717,404.03113,627.16437,357.11093,632.465,366.01566,692.16003,436.36536,651.8144,460.34674,692.6644,505.19226,595.4787,545.9381
fall_1_backward_falls_frame002.jpg,696.3333,182.77026,0.0,0.0,691.04694,172.12964,0.0,0.0,664.3141,175.07422,632.1466,227.35242,651.9218,234.64041,628.49634,319.38635,666.3679,327.055,667.87317,393.44586,692.6564,406.75433,639.16675,365.91504,646.6067,372.4082,708.08405,448.9734,676.8246,461.60504,687.78326,511.325,610.96655,533.259
fall_1_backward_falls_frame003.jpg,708.9541,204.82825,0.0,0.0,698.6053,194.8067,0.0,0.0,668.2282,198.28668,656.39734,242.99084,660.2211,249.86505,653.1996,325.17255,665.81744,330.078,683.6602,387.53168,690.12274,400.2835,656.4558,371.22308,655.4884,377.27808,734.5809,447.21832,715.82056,457.22528,683.7966,508.03577,621.46,520.5896
fall_1_backward_falls_frame004.jpg,0.0,0.0,0.0,0.0,706.8899,213.66626,0.0,0.0,687.49817,210.71948,655.28094,247.09808,670.4713,258.29727,0.0,0.0,679.612,351.01614,0.0,0.0,710.37225,422.73935,662.2044,383.35504,670.4603,392.55975,732.06647,456.09756,728.9158,464.02667,691.8165,515.71906,672.1696,527.9578
fall_1_backward_falls_frame005.jpg,0.0,0.0,0.0,0.0,715.4283,221.03062,0.0,0.0,692.9283,223.3323,649.8924,266.7507,678.7158,279.15436,664.0663,349.5661,694.0282,373.52698,698.97595,419.05725,719.76263,444.6813,652.6748,402.54703,667.81964,411.91293,734.95325,448.99188,734.0663,463.2536,698.1475,498.50653,678.4468,519.2794
fall_1_backward_falls_frame006.jpg,723.5134,236.15024,0.0,0.0,719.68994,226.3378,0.0,0.0,698.76654,234.2442,656.27155,281.61664,683.5065,294.86398,654.6274,366.0416,691.568,383.76556,692.86365,429.10965,725.8969,446.72388,656.0644,409.57288,673.10815,418.96143,728.8796,454.84076,740.5634,464.73566,707.1974,507.35748,704.91656,517.63794
fall_1_backward_falls_frame007.jpg,713.2369,265.95673,0.0,0.0,710.6226,258.86548,0.0,0.0,697.7451,266.14417,647.88513,292.13065,683.9132,316.7406,666.5875,324.7047,704.0481,396.04816,715.09015,291.4152,743.2144,468.56958,629.219,413.97864,652.57324,426.84973,686.1359,469.8285,714.95654,476.99927,679.86816,512.00903,688.6097,513.27356
fall_1_backward_falls_frame008.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.8214,296.71558,640.75586,319.4168,672.78955,335.16428,650.03,392.32474,710.39624,411.95087,0.0,0.0,761.5994,477.4842,619.9637,432.99,640.1765,444.78705,680.6025,410.77402,704.7871,421.54578,715.50323,480.94107,734.0375,488.89624
fall_1_backward_falls_frame009.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.9026,325.62598,621.817,350.01947,659.3241,362.6584,629.9791,405.2152,698.9144,427.35037,0.0,0.0,756.4337,458.5731,616.11584,477.49994,641.24603,488.88348,697.51013,438.95584,729.5947,439.69885,740.26495,494.80133,775.5993,489.3451
fall_1_backward_falls_frame010.jpg,0.0,0.0,0.0,0.0,684.5782,346.5202,0.0,0.0,663.91614,351.5798,616.53094,373.7913,640.1289,395.5337,661.1159,419.93124,691.09064,445.48508,0.0,0.0,745.1622,461.06137,619.9808,496.6673,636.7717,515.3585,689.89734,426.65552,713.69257,450.8627,762.8994,491.214,784.63214,516.18713
fall_1_backward_falls_frame011.jpg,660.74866,379.06512,0.0,0.0,659.3881,375.52353,0.0,0.0,640.7278,384.54193,591.18744,411.79456,628.58325,431.22037,641.8903,440.0112,681.8524,458.82166,678.4469,429.81818,695.10876,437.70404,615.0913,510.55072,641.007,530.37054,691.2743,427.9607,716.1374,456.65128,785.9597,484.721,795.88336,511.38983
fall_1_backward_falls_frame012.jpg,635.0264,392.50003,0.0,0.0,633.4402,388.71063,0.0,0.0,613.6842,395.45886,569.8696,421.6662,602.1614,438.10117,622.2255,440.77252,665.6865,462.40155,674.193,420.49637,695.0943,444.54233,606.0452,515.73425,628.2537,534.8546,701.0464,464.6397,721.4496,484.5583,796.73047,500.14752,810.01196,516.8624
fall_1_backward_falls_frame013.jpg,601.35486,412.95398,0.0,0.0,600.07874,409.26065,0.0,0.0,581.6244,412.86993,547.8275,428.52692,575.83026,448.47092,611.20044,434.96307,651.42633,466.2175,666.30023,422.4409,673.7765,448.6211,586.2189,515.333,603.94775,533.5404,686.4112,481.2081,689.79065,497.20416,779.88293,508.94446,774.48315,527.2727
